employeeNumber,firstName,lastName,officeCity
1002,Diane,Murphy,San Francisco
1056,Mary,Patterson,San Francisco
1076,Jeff,Firrelli,San Francisco
1088,William,Patterson,Sydney
1102,Gerard,Bondur,Paris
1143,Anthony,Bow,San Francisco
1165,Leslie,Jennings,San Francisco
1166,Leslie,Thompson,San Francisco
1188,Julie,Firrelli,Boston
1216,Steve,Patterson,Boston
1286,Foon Yue,Tseng,NYC
1323,George,Vanauf,NYC
1337,Loui,Bondur,Paris
1370,Gerard,Hernandez,Paris
1401,Pamela,Castillo,Paris
1501,Larry,Bott,London
1504,Barry,Jones,London
1611,Andy,Fixter,Sydney
1612,Peter,Marsh,Sydney
1619,Tom,King,Sydney
1621,Mami,Nishi,Tokyo
1625,Yoshimi,Kato,Tokyo
1702,Martin,Gerard,Paris
